epoch,loss,e_mae,f_mae,time,val_loss,val_e_mae,val_f_mae
0,191.35314810276031,1096.0671324282885,192.93155521154404,4.679304361343384,5.278896536145892,175.75252481869288,146.32094757897514
1,4.918305993080139,160.72072926908731,137.69628666341305,2.453185796737671,12.113171577453613,127.86193192005157,264.807505267007
2,33.734647035598755,514.9435847997665,257.19117745757103,1.7238361835479736,3.398672240121024,43.245140995298115,145.6701053040368
3,19.86787497997284,423.5508367419243,168.8179112970829,1.7252068519592285,86.50225939069476,1137.8134999956403,153.2677241734096
4,65.71871823072433,853.0676793307066,157.58105739951134,1.6911253929138184,37.82803399222238,735.4364565440586,143.72452454907554
5,29.928462982177734,633.4293335676193,138.02463561296463,1.740870714187622,26.58324704851423,616.1000898906162,121.24919146299362
6,18.596349239349365,498.7626075744629,118.34725923836231,1.669957160949707,1.6072934525353568,61.16425565310887,93.28371392829078
7,6.860279053449631,259.2491116374731,82.68948644399643,1.6584482192993164,11.335075787135533,405.9337249823979,71.68778032064438
8,5.990406632423401,274.4697406888008,57.67735745757818,1.736501693725586,1.610856192452567,137.15266755649023,50.5184249154159
9,2.6283722817897797,179.02635410428047,49.25795365124941,1.6720983982086182,0.5766888090542385,67.713876920087,42.165534304721014
10,1.6318535655736923,122.29476310312748,42.808400467038155,1.679631233215332,1.3284188168389457,132.64403811522894,35.557316350085394
11,1.1647227481007576,112.81940340995789,35.21884698420763,1.675760269165039,1.3419724362237113,136.8616989680699,30.477185866662435
12,0.7848807349801064,94.11141090095043,26.91055927425623,1.7346627712249756,0.9953171610832214,119.50600679431643,22.914574348500796
13,0.5194322876632214,72.64984073117375,22.102211136370897,1.7436597347259521,0.6729135513305664,98.03019038268498,19.29590106010437
14,0.3401547931134701,58.837832883000374,18.3347100391984,1.718097448348999,0.4270896996770586,77.70876267126629,15.831362189991134
15,0.21642041578888893,49.43257104605436,13.65880691446364,1.6961405277252197,0.24821793394429342,59.8298151578222,11.084708917353835
16,0.13526998553425074,40.31836288049817,9.287575609050691,1.7222886085510254,0.12938752983297622,43.78313039030348,6.183671232845102
17,0.08533397223800421,31.518073985353112,6.189588806591928,1.7825300693511963,0.06284901978714126,29.81467465204852,5.51368748503072
18,0.056604179786518216,24.794941709842533,6.121281301602721,1.7449352741241455,0.026987985840865543,17.185076539005554,6.95292412170342
19,0.039857193594798446,20.855480805039406,7.151822093874216,1.7530224323272705,0.010275852068194322,6.620931173009532,6.494838345263686
20,0.026882003992795944,16.15808834321797,6.615950260311365,1.7171783447265625,0.006228926658098187,2.056741588083761,5.997391816760812
21,0.018657773034647107,12.014825944788754,6.11454586032778,1.6809375286102295,0.008963626543326038,8.061209693551064,5.325626714953354
22,0.013270455237943679,9.858294069999829,5.292539019137621,1.676865577697754,0.012531670076506478,11.326658672520093,5.009557918778488
23,0.010310416924767196,9.294486604630947,4.7801058972254395,1.6973578929901123,0.012418195206139768,11.777536943554878,4.605289415589401
24,0.008349423878826201,7.542111328803003,4.648373695090413,1.6799578666687012,0.009080954561276096,9.88878309726715,4.0339151330824405
25,0.00616642483510077,6.606324401218444,4.103417741134763,1.7797307968139648,0.005396759270557335,6.37282950005361,4.040923568287066
26,0.004740802221931517,4.781430900038686,4.169299791101366,1.711991548538208,0.003215408617896693,2.3004519420542886,4.148170385243637
27,0.003923793672583997,3.8288685027509928,4.224623087793589,1.7868249416351318,0.0028756318081702504,1.1807651026174426,3.920199881706919
28,0.0031532961584161967,2.6421267684781924,3.7788188783451915,1.7194361686706543,0.003236961883625814,3.2284940659467662,3.837801848671266
29,0.002825572621077299,2.6944209821522236,3.661828755866736,1.6868388652801514,0.0033583268855831455,3.571521790165986,3.8022652068840608
