epoch,loss,e_mae,f_mae,time,val_loss,val_e_mae,val_f_mae
0,7.327864720271184,92.19601857834138,203.6258142728072,0.614372968673706,6.426824365343366,61.115485216890065,198.32227272646767
1,6.2887043952941895,35.07533309479746,198.96726997999045,0.7358357906341553,5.881162575313023,28.489846736192703,192.4660610301154
2,5.8026640598590555,22.497390898374412,192.17524505578555,0.4026801586151123,5.291532448359898,9.049912515495505,183.25212597846985
3,4.9558731225820685,12.253983734318844,177.92953436191266,0.3823049068450928,4.179983990533011,13.183722272515297,162.6454166003636
4,3.4818555208352895,7.726682170938987,148.4571466079125,0.39260149002075195,2.331279311861311,3.5144054730023657,121.3320791721344
5,1.5390188694000244,5.5278764607814646,97.7089278973066,0.38117146492004395,0.8281458105359759,6.862878932484558,73.361265872206
6,0.768901724081773,4.6198357326480055,71.38095853420404,0.3835318088531494,0.6086080244609288,4.521386032657964,63.738201345716206
7,0.4856302806964287,3.0870900149098954,56.84076335567694,0.3802833557128906,0.37679764202662874,4.023439117840359,49.76333997079304
8,0.3503136199254256,2.669696055818349,48.0833758528416,0.38225460052490234,0.29562170590673176,0.7703495544514486,44.020164225782665
9,0.29167396288651687,1.9071791992666056,43.972957592744095,0.3760194778442383,0.26729350856372286,0.46856621546404703,41.835565652166096
10,0.2696645580805265,1.2772325650215721,42.16971448980845,0.3817307949066162,0.24973940636430467,0.7167438327867005,40.23924044200352
11,0.2522186499375563,1.6075652764322093,40.592937228771355,0.40262889862060547,0.23691361929689134,6.306530042950596,38.975660290036885
12,0.24286548564067253,8.656752725633291,39.40065749562704,0.39592528343200684,0.2245905931506838,9.142933679478508,37.74279888187136
13,0.22348197033772102,4.578873282298446,38.140877794760925,0.39145398139953613,0.20649550216538565,5.177388632936137,36.50017774530819
14,0.20742817223072052,2.759547957863945,36.82535600203734,0.38351941108703613,0.19064377461160933,1.9630210673702615,35.18330199377878
15,0.19080890829746538,1.886695596532753,35.326591764505096,0.3813202381134033,0.17626115466867173,1.797104936226138,33.83374054517065
16,0.1777820334984706,2.411279988546784,34.12005333946301,0.40224480628967285,0.16275740734168462,3.511854414162891,32.479340210556984
17,0.17228449422579545,10.695807761154496,32.69391822127196,0.38144350051879883,0.15564510226249695,10.720579618854183,31.05280495115689
18,0.15151783938591296,6.006601159102642,31.13866439805581,0.3814120292663574,0.13882204464503697,6.922026830060141,29.711782932281494
19,0.13700939084474856,3.544928622432053,29.76230703867399,0.38057971000671387,0.12336858361959457,0.36614316715193646,28.329676815441676
20,0.12294779660610053,1.9205370850753611,28.285634202452805,0.39437389373779297,0.11177580271448408,3.0912787853074923,26.904009548681124
21,0.11440617992327763,6.544963725341054,26.844197454360817,0.38563108444213867,0.11690851300954819,16.574506514838763,25.39528879736151
22,0.10651767998933792,9.467688801053624,25.40254478271191,0.37872767448425293,0.09116580017975398,6.354038803172963,23.994336969086103
23,0.09047563660603303,5.579510936513543,23.906732694460796,0.37844300270080566,0.07846718707254954,0.20687304536945053,22.535845105137145
24,0.07854568786345996,3.0942346963386695,22.366935530534157,0.37644076347351074,0.06874384943928037,0.5915148399903306,21.096188575029373
25,0.06918450244344197,2.7181209342625854,20.917931858163612,0.3777041435241699,0.08383219476257052,19.463907128998212,19.641512472714698
26,0.09826371360283631,22.034561977936672,19.52376073369613,0.37935972213745117,0.08272213701690946,21.588805796844618,18.424364072935923
27,0.06305931995694454,10.791008897985403,18.39457151408379,0.37681102752685547,0.052741172058241706,9.277823381125927,17.396045050450734
28,0.049901508081417814,5.357938896990023,17.359777138783382,0.40886449813842773,0.04256750590034893,3.2068772707134485,16.38515932219369
29,0.04243039167844332,2.87697533181367,16.221281570883896,0.3748486042022705,0.03723904650126185,2.72475482363786,15.252317967159408
